Country,City,AQI Value,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,AQI Category_encoded,CO AQI Category_encoded,Ozone AQI Category_encoded,NO2 AQI Category_encoded,PM2.5 AQI Category_encoded,Total_Pollution_Score,Country_encoded,City_encoded
Russian Federation,Praskoveya,51.0,1.0,36.0,0.0,51.0,1,0,0,0,1,24.499999999999996,130,16525
Brazil,Presidente Dutra,41.0,1.0,5.0,1.0,41.0,0,0,0,0,0,13.999999999999998,22,16546
Italy,Priolo Gargallo,66.0,1.0,39.0,2.0,66.0,1,0,0,0,1,30.25,75,16582
Poland,Przasnysz,34.0,1.0,34.0,0.0,20.0,0,0,0,0,0,14.7,123,16618
France,Punaauia,22.0,1.0,22.0,0.0,6.0,0,0,0,0,0,7.3,54,16699
United States of America,Punta Gorda,54.0,1.0,14.0,10.0,54.0,1,0,0,0,1,22.65,166,16713
Germany,Puttlingen,62.0,1.0,35.0,3.0,62.0,1,0,0,0,1,28.299999999999997,58,16749
Belgium,Puurs,64.0,1.0,29.0,7.0,64.0,1,0,0,0,1,28.4,15,16751
Russian Federation,Pyatigorsk,54.0,1.0,41.0,1.0,54.0,1,0,0,0,1,26.9,130,16756
Egypt,Qalyub,139.0,1.0,68.5,9.0,142.0,2,0,1,0,2,67.69999999999999,47,16768
China,Qinzhou,68.0,1.0,68.0,1.0,58.0,1,0,1,0,1,35.05,33,16793
Netherlands,Raalte,41.0,1.0,24.0,6.0,41.0,0,0,0,0,0,19.999999999999996,109,16880
India,Radaur,139.0,1.0,68.5,1.0,145.0,3,0,2,0,3,83.0,69,16894
Pakistan,Radhan,139.0,1.0,50.0,1.0,145.0,3,0,0,0,3,60.35,116,16902
Republic of North Macedonia,Radovis,83.0,1.0,46.0,0.0,83.0,1,0,0,0,1,36.6,128,16911
France,Raismes,59.0,1.0,30.0,4.0,59.0,1,0,0,0,1,26.4,54,16944
India,Rajgir,139.0,1.0,68.5,2.0,145.0,3,0,2,0,3,72.29999999999998,69,16960
Italy,Ramacca,55.0,1.0,47.0,0.0,55.0,1,0,0,0,1,28.45,75,16979
United States of America,Phoenix,72.0,1.0,4.0,10.0,72.0,1,0,0,0,1,28.549999999999997,166,16006
India,Phulabani,139.0,1.0,68.5,0.0,145.0,3,0,1,0,3,66.45,69,16019
Poland,Piaseczno,28.0,1.0,28.0,2.0,28.0,0,0,0,0,0,16.1,123,16032
India,Pimpri,118.0,1.0,30.0,2.0,118.0,2,0,0,0,2,43.8,69,16080
Brazil,Pindobacu,33.0,1.0,10.0,1.0,33.0,0,0,0,0,0,12.65,22,16091
China,Pingyin,139.0,1.0,68.5,6.0,145.0,3,0,1,0,3,70.85,33,16113
Brazil,Pinheiral,139.0,1.0,0.0,10.0,145.0,3,0,0,0,3,50.449999999999996,22,16117
India,Piravam,81.0,1.0,24.0,1.0,81.0,1,0,0,0,1,30.75,69,16158
Colombia,Plato,67.0,1.0,16.0,2.0,67.0,1,0,0,0,1,24.799999999999997,34,16220
Romania,Poiana Mare,62.0,1.0,37.0,1.0,62.0,1,0,0,0,1,28.299999999999997,129,16283
Russian Federation,Polevskoy,31.0,1.0,31.0,0.0,17.0,0,0,0,0,0,13.049999999999999,130,16299
France,Pontarlier,56.0,1.0,35.0,0.0,56.0,1,0,0,0,1,25.75,54,16354
United States of America,Pontiac,77.0,1.0,22.0,10.0,77.0,1,0,0,0,1,32.74999999999999,166,16365
Indonesia,Pontianak,44.0,1.0,15.0,0.0,44.0,0,0,0,0,0,17.15,70,16367
Brazil,Porecatu,30.0,1.0,9.0,2.0,30.0,0,0,0,0,0,11.95,22,16391
